Frame Rate:,25.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
249,00:00:09.960,0.5893735532407407,0.6346028645833334,0.08509657118055555,1.0484212239583333
250,00:00:10.000,1.0386013454861112,1.046142578125,0.2117241753472222,1.8579372829861112
251,00:00:10.040,1.0704481336805556,1.0389811197916667,0.16365559895833334,2.0087076822916665
252,00:00:10.080,1.205023871527778,0.9128146701388888,0.1753472222222222,2.5269097222222223
253,00:00:10.120,0.842239945023148,0.7913682725694444,0.1355251736111111,1.5998263888888888
254,00:00:10.160,0.883590133101852,0.7327202690972222,0.1257595486111111,1.7922905815972223
255,00:00:10.200,0.9162959346064815,0.7301974826388888,0.10888671875,1.9098036024305556
256,00:00:10.240,6.628969545717593,7.146511501736111,3.0093858506944446,9.731011284722221
257,00:00:10.280,0.9023799189814815,0.9947645399305556,0.286376953125,1.4259982638888888
258,00:00:10.320,0.7531105324074074,0.8346625434027778,0.1547309027777778,1.2699381510416667
259,00:00:10.360,0.711715133101852,0.8345269097222222,0.15291341145833334,1.147705078125
260,00:00:10.400,0.9495081018518517,1.0125325520833333,0.18714735243055555,1.6488444010416667
261,00:00:10.440,0.7884747540509259,0.8406575520833334,0.15052625868055555,1.3742404513888888
262,00:00:10.480,0.8494104456018517,0.8385416666666666,0.17081705729166666,1.5388726128472223
263,00:00:10.520,1.0718044704861112,1.2072482638888888,0.2014431423611111,1.8067220052083333
264,00:00:10.560,0.5760362413194444,0.5189887152777778,0.11116536458333333,1.0979546440972223
265,00:00:10.600,0.8300329137731483,0.8823784722222222,0.1521267361111111,1.4555935329861112
266,00:00:10.640,0.5884874131944444,0.6419542100694444,0.0990939670138889,1.0244140625
267,00:00:10.680,0.7538158275462963,0.8691677517361112,0.14265950520833334,1.2496202256944444
268,00:00:10.720,0.7269513165509259,0.8128255208333334,0.1047634548611111,1.2632649739583333
269,00:00:10.760,0.9859573929398149,1.0728081597222223,0.1308051215277778,1.7542588975694444
270,00:00:10.800,0.7317708333333335,0.8589138454861112,0.09578450520833333,1.2406141493055556
